fold,split,rows,up,down,up_ratio,down_ratio,start,end
0,train,11956,5978,5978,0.5,0.5,2025-05-12 22:00:00+00:00,2025-09-14 21:45:00+00:00
0,validation,1990,995,995,0.5,0.5,2025-09-14 22:00:00+00:00,2025-10-05 17:45:00+00:00
0,test,1998,999,999,0.5,0.5,2025-10-05 18:00:00+00:00,2025-10-26 13:45:00+00:00
1,train,11996,5998,5998,0.5,0.5,2025-06-02 18:00:00+00:00,2025-10-05 17:45:00+00:00
1,validation,1998,999,999,0.5,0.5,2025-10-05 18:00:00+00:00,2025-10-26 13:45:00+00:00
1,test,1958,979,979,0.5,0.5,2025-10-26 14:00:00+00:00,2025-11-16 09:45:00+00:00
2,train,11950,5975,5975,0.5,0.5,2025-06-23 14:00:00+00:00,2025-10-26 13:45:00+00:00
2,validation,1958,979,979,0.5,0.5,2025-10-26 14:00:00+00:00,2025-11-16 09:45:00+00:00
2,test,1920,960,960,0.5,0.5,2025-11-16 10:00:00+00:00,2025-12-07 05:45:00+00:00
3,train,11926,5963,5963,0.5,0.5,2025-07-14 10:00:00+00:00,2025-11-16 09:45:00+00:00
3,validation,1920,960,960,0.5,0.5,2025-11-16 10:00:00+00:00,2025-12-07 05:45:00+00:00
3,test,1906,953,953,0.5,0.5,2025-12-07 06:00:00+00:00,2025-12-28 01:45:00+00:00
4,train,11960,5980,5980,0.5,0.5,2025-08-04 06:00:00+00:00,2025-12-07 05:45:00+00:00
4,validation,1906,953,953,0.5,0.5,2025-12-07 06:00:00+00:00,2025-12-28 01:45:00+00:00
4,test,1986,993,993,0.5,0.5,2025-12-28 02:00:00+00:00,2026-01-17 21:45:00+00:00
5,train,11820,5910,5910,0.5,0.5,2025-08-25 02:00:00+00:00,2025-12-28 01:45:00+00:00
5,validation,1986,993,993,0.5,0.5,2025-12-28 02:00:00+00:00,2026-01-17 21:45:00+00:00
5,test,1862,931,931,0.5,0.5,2026-01-17 22:00:00+00:00,2026-02-07 17:45:00+00:00
6,train,11782,5891,5891,0.5,0.5,2025-09-14 22:00:00+00:00,2026-01-17 21:45:00+00:00
6,validation,1862,931,931,0.5,0.5,2026-01-17 22:00:00+00:00,2026-02-07 17:45:00+00:00
6,test,1984,992,992,0.5,0.5,2026-02-07 18:00:00+00:00,2026-02-28 13:45:00+00:00
7,train,11634,5817,5817,0.5,0.5,2025-10-05 18:00:00+00:00,2026-02-07 17:45:00+00:00
7,validation,1984,992,992,0.5,0.5,2026-02-07 18:00:00+00:00,2026-02-28 13:45:00+00:00
7,test,1938,969,969,0.5,0.5,2026-02-28 14:00:00+00:00,2026-03-21 09:45:00+00:00
8,train,11648,5824,5824,0.5,0.5,2025-10-26 14:00:00+00:00,2026-02-28 13:45:00+00:00
8,validation,1938,969,969,0.5,0.5,2026-02-28 14:00:00+00:00,2026-03-21 09:45:00+00:00
8,test,1956,978,978,0.5,0.5,2026-03-21 10:00:00+00:00,2026-04-11 05:45:00+00:00
9,train,11628,5814,5814,0.5,0.5,2025-11-16 10:00:00+00:00,2026-03-21 09:45:00+00:00
9,validation,1956,978,978,0.5,0.5,2026-03-21 10:00:00+00:00,2026-04-11 05:45:00+00:00
9,test,1940,970,970,0.5,0.5,2026-04-11 06:00:00+00:00,2026-05-02 01:45:00+00:00
