fold,split,rows,up,down,up_ratio,down_ratio,start,end
0,train,11928,5964,5964,0.5,0.5,2025-05-12 22:00:00+00:00,2025-09-14 21:45:00+00:00
0,validation,1978,989,989,0.5,0.5,2025-09-14 22:00:00+00:00,2025-10-05 17:45:00+00:00
0,test,1990,995,995,0.5,0.5,2025-10-05 18:00:00+00:00,2025-10-26 13:45:00+00:00
1,train,11944,5972,5972,0.5,0.5,2025-06-02 18:00:00+00:00,2025-10-05 17:45:00+00:00
1,validation,1990,995,995,0.5,0.5,2025-10-05 18:00:00+00:00,2025-10-26 13:45:00+00:00
1,test,1914,957,957,0.5,0.5,2025-10-26 14:00:00+00:00,2025-11-16 09:45:00+00:00
2,train,11888,5944,5944,0.5,0.5,2025-06-23 14:00:00+00:00,2025-10-26 13:45:00+00:00
2,validation,1914,957,957,0.5,0.5,2025-10-26 14:00:00+00:00,2025-11-16 09:45:00+00:00
2,test,1924,962,962,0.5,0.5,2025-11-16 10:00:00+00:00,2025-12-07 05:45:00+00:00
3,train,12000,6000,6000,0.5,0.5,2025-07-14 10:00:00+00:00,2025-11-16 09:45:00+00:00
3,validation,1924,962,962,0.5,0.5,2025-11-16 10:00:00+00:00,2025-12-07 05:45:00+00:00
3,test,1922,961,961,0.5,0.5,2025-12-07 06:00:00+00:00,2025-12-28 01:45:00+00:00
4,train,11860,5930,5930,0.5,0.5,2025-08-04 06:00:00+00:00,2025-12-07 05:45:00+00:00
4,validation,1922,961,961,0.5,0.5,2025-12-07 06:00:00+00:00,2025-12-28 01:45:00+00:00
4,test,1958,979,979,0.5,0.5,2025-12-28 02:00:00+00:00,2026-01-17 21:45:00+00:00
5,train,11780,5890,5890,0.5,0.5,2025-08-25 02:00:00+00:00,2025-12-28 01:45:00+00:00
5,validation,1958,979,979,0.5,0.5,2025-12-28 02:00:00+00:00,2026-01-17 21:45:00+00:00
5,test,1900,950,950,0.5,0.5,2026-01-17 22:00:00+00:00,2026-02-07 17:45:00+00:00
6,train,11790,5895,5895,0.5,0.5,2025-09-14 22:00:00+00:00,2026-01-17 21:45:00+00:00
6,validation,1900,950,950,0.5,0.5,2026-01-17 22:00:00+00:00,2026-02-07 17:45:00+00:00
6,test,1966,983,983,0.5,0.5,2026-02-07 18:00:00+00:00,2026-02-28 13:45:00+00:00
7,train,11712,5856,5856,0.5,0.5,2025-10-05 18:00:00+00:00,2026-02-07 17:45:00+00:00
7,validation,1966,983,983,0.5,0.5,2026-02-07 18:00:00+00:00,2026-02-28 13:45:00+00:00
7,test,1934,967,967,0.5,0.5,2026-02-28 14:00:00+00:00,2026-03-21 09:45:00+00:00
8,train,11668,5834,5834,0.5,0.5,2025-10-26 14:00:00+00:00,2026-02-28 13:45:00+00:00
8,validation,1934,967,967,0.5,0.5,2026-02-28 14:00:00+00:00,2026-03-21 09:45:00+00:00
8,test,1938,969,969,0.5,0.5,2026-03-21 10:00:00+00:00,2026-04-11 05:45:00+00:00
9,train,11688,5844,5844,0.5,0.5,2025-11-16 10:00:00+00:00,2026-03-21 09:45:00+00:00
9,validation,1938,969,969,0.5,0.5,2026-03-21 10:00:00+00:00,2026-04-11 05:45:00+00:00
9,test,1968,984,984,0.5,0.5,2026-04-11 06:00:00+00:00,2026-05-02 01:45:00+00:00
