fold,split,rows,up,down,up_ratio,down_ratio,start,end
0,train,11880,5940,5940,0.5,0.5,2025-05-12 22:00:00+00:00,2025-09-14 21:45:00+00:00
0,validation,1926,963,963,0.5,0.5,2025-09-14 22:00:00+00:00,2025-10-05 17:45:00+00:00
0,test,1984,992,992,0.5,0.5,2025-10-05 18:00:00+00:00,2025-10-26 13:45:00+00:00
1,train,11814,5907,5907,0.5,0.5,2025-06-02 18:00:00+00:00,2025-10-05 17:45:00+00:00
1,validation,1984,992,992,0.5,0.5,2025-10-05 18:00:00+00:00,2025-10-26 13:45:00+00:00
1,test,1930,965,965,0.5,0.5,2025-10-26 14:00:00+00:00,2025-11-16 09:45:00+00:00
2,train,11764,5882,5882,0.5,0.5,2025-06-23 14:00:00+00:00,2025-10-26 13:45:00+00:00
2,validation,1930,965,965,0.5,0.5,2025-10-26 14:00:00+00:00,2025-11-16 09:45:00+00:00
2,test,1928,964,964,0.5,0.5,2025-11-16 10:00:00+00:00,2025-12-07 05:45:00+00:00
3,train,11844,5922,5922,0.5,0.5,2025-07-14 10:00:00+00:00,2025-11-16 09:45:00+00:00
3,validation,1928,964,964,0.5,0.5,2025-11-16 10:00:00+00:00,2025-12-07 05:45:00+00:00
3,test,1972,986,986,0.5,0.5,2025-12-07 06:00:00+00:00,2025-12-28 01:45:00+00:00
4,train,11992,5996,5996,0.5,0.5,2025-08-04 06:00:00+00:00,2025-12-07 05:45:00+00:00
4,validation,1972,986,986,0.5,0.5,2025-12-07 06:00:00+00:00,2025-12-28 01:45:00+00:00
4,test,1974,987,987,0.5,0.5,2025-12-28 02:00:00+00:00,2026-01-17 21:45:00+00:00
5,train,12000,6000,6000,0.5,0.5,2025-08-25 02:00:00+00:00,2025-12-28 01:45:00+00:00
5,validation,1974,987,987,0.5,0.5,2025-12-28 02:00:00+00:00,2026-01-17 21:45:00+00:00
5,test,1846,923,923,0.5,0.5,2026-01-17 22:00:00+00:00,2026-02-07 17:45:00+00:00
6,train,11950,5975,5975,0.5,0.5,2025-09-14 22:00:00+00:00,2026-01-17 21:45:00+00:00
6,validation,1846,923,923,0.5,0.5,2026-01-17 22:00:00+00:00,2026-02-07 17:45:00+00:00
6,test,1988,994,994,0.5,0.5,2026-02-07 18:00:00+00:00,2026-02-28 13:45:00+00:00
7,train,11722,5861,5861,0.5,0.5,2025-10-05 18:00:00+00:00,2026-02-07 17:45:00+00:00
7,validation,1988,994,994,0.5,0.5,2026-02-07 18:00:00+00:00,2026-02-28 13:45:00+00:00
7,test,1998,999,999,0.5,0.5,2026-02-28 14:00:00+00:00,2026-03-21 09:45:00+00:00
8,train,11718,5859,5859,0.5,0.5,2025-10-26 14:00:00+00:00,2026-02-28 13:45:00+00:00
8,validation,1998,999,999,0.5,0.5,2026-02-28 14:00:00+00:00,2026-03-21 09:45:00+00:00
8,test,1946,973,973,0.5,0.5,2026-03-21 10:00:00+00:00,2026-04-11 05:45:00+00:00
9,train,11786,5893,5893,0.5,0.5,2025-11-16 10:00:00+00:00,2026-03-21 09:45:00+00:00
9,validation,1946,973,973,0.5,0.5,2026-03-21 10:00:00+00:00,2026-04-11 05:45:00+00:00
9,test,1980,990,990,0.5,0.5,2026-04-11 06:00:00+00:00,2026-05-02 01:45:00+00:00
