feature,gain,split
open,705.4895430073142,114.9
high,478.80446193814277,76.5
low,546.5496035218239,81.6
close,446.27449811697005,69.3
volume,1337.9995343983173,210.4
funding_rate,1260.563606582582,194.5
log_return,1515.495284795761,153.1
close_open_range,598.1890919834375,57.0
high_low_range,1070.0301626706496,165.2
vwap,282.2166309595108,41.4
vwap_distance,2377.259810626507,248.6
rolling_return_1,24.89922993183136,3.4
realized_volatility_1,1117.036975121498,153.4
parkinson_volatility_1,495.7236562371254,74.9
rolling_return_3,1457.3963835597037,217.8
rolling_volatility_3,1032.7404118537902,161.7
realized_volatility_3,989.529096364975,152.9
parkinson_volatility_3,1091.8899664372207,167.6
rolling_return_5,1358.1429890122265,207.5
rolling_volatility_5,954.4689019858837,149.2
realized_volatility_5,740.2696912795305,114.8
parkinson_volatility_5,927.844108659029,138.9
rolling_return_15,1349.6054822802544,202.8
rolling_volatility_15,916.3081587083637,135.1
realized_volatility_15,782.9555618196725,120.4
parkinson_volatility_15,991.6190139114857,150.0
rolling_return_30,1387.150451463461,211.4
rolling_volatility_30,656.1268871873617,100.3
realized_volatility_30,593.1319774270057,90.1
parkinson_volatility_30,722.6404404371976,110.9
rolling_return_60,1032.0605465114118,166.4
rolling_volatility_60,564.9658420979977,88.9
realized_volatility_60,464.9698437452316,72.5
parkinson_volatility_60,842.7602749943733,131.2
funding_change,610.1675355434418,93.0
funding_zscore,1527.133608585596,231.5
realized_vol_percentile,1019.5239441037178,167.1
rolling_entropy,1105.8680742055178,181.8
hurst_exponent,1223.82757980451,200.3
trend_strength,1096.5345424041152,175.0
session_asia,101.11198530197143,15.4
session_europe,83.4811518907547,13.1
session_us,83.6940144777298,14.8
