feature,gain,split
open,546.7518517583609,92.9
high,275.9662035048008,46.3
low,371.1417462348938,59.5
close,346.66955833137035,54.2
volume,1216.173072233051,204.6
funding_rate,884.3512230694294,156.5
log_return,624.3897867813706,104.4
close_open_range,234.59225076436996,38.0
high_low_range,753.3442988365889,128.1
vwap,205.44565410614013,33.0
vwap_distance,992.2022537082433,163.7
rolling_return_1,14.818542969226836,2.9
realized_volatility_1,674.1329556524754,118.7
parkinson_volatility_1,315.80628657341003,50.8
rolling_return_3,2046.1392722487449,239.2
rolling_volatility_3,859.7511586438865,140.2
realized_volatility_3,790.7073394596576,132.7
parkinson_volatility_3,784.9107749700546,125.8
rolling_return_5,1150.9713320076467,186.4
rolling_volatility_5,975.6653018414975,149.5
realized_volatility_5,655.435152989626,106.6
parkinson_volatility_5,828.1662008941173,114.5
rolling_return_15,1294.831081879139,202.3
rolling_volatility_15,586.3435318559408,99.1
realized_volatility_15,523.8942857205868,88.8
parkinson_volatility_15,639.5187333315611,106.7
rolling_return_30,1042.7593035358937,168.0
rolling_volatility_30,397.6280356407166,66.2
realized_volatility_30,377.36404086351394,61.6
parkinson_volatility_30,501.66897411942483,78.5
rolling_return_60,672.8504247903824,118.7
rolling_volatility_60,476.49436797201633,78.5
realized_volatility_60,352.46274108439684,56.0
parkinson_volatility_60,516.3684479802847,86.6
funding_change,443.6780967473984,68.1
funding_zscore,1227.0479489818215,204.3
realized_vol_percentile,841.1624534606933,147.5
rolling_entropy,1110.7914588600397,192.3
hurst_exponent,1194.0965613745152,200.8
trend_strength,845.2353326916694,148.4
session_asia,49.9415340423584,8.1
session_europe,139.40160304307938,23.5
session_us,25.682542896270753,4.4
