feature,gain,split
open,1094.3610943712295,186.2
high,655.2690099924803,110.2
low,708.9373836636544,118.8
close,518.1627067089081,85.4
volume,2519.0131507992746,411.0
funding_rate,1843.3492929756642,305.0
log_return,2397.913353370875,252.5
close_open_range,877.6033303797245,81.0
high_low_range,1501.1786428168416,249.6
vwap,315.3085416346788,53.1
vwap_distance,3226.4142114207148,429.7
rolling_return_1,50.12852504253387,5.8
realized_volatility_1,1766.016022599116,270.2
parkinson_volatility_1,609.9336001724005,96.9
rolling_return_3,2993.733887130022,390.5
rolling_volatility_3,1747.7223914563656,289.7
realized_volatility_3,1590.5670558094978,259.9
parkinson_volatility_3,1534.2751170098782,250.5
rolling_return_5,2267.1413339056076,354.5
rolling_volatility_5,1477.6347044229042,243.3
realized_volatility_5,1363.0685284854844,220.8
parkinson_volatility_5,1331.258107122779,217.1
rolling_return_15,1920.393789901305,333.3
rolling_volatility_15,1073.598578245938,175.0
realized_volatility_15,935.88824852705,155.3
parkinson_volatility_15,1153.8617484092713,192.1
rolling_return_30,2005.2581425517797,330.2
rolling_volatility_30,1039.5296325303614,165.5
realized_volatility_30,825.2505113983061,137.5
parkinson_volatility_30,1154.3412112015067,186.5
rolling_return_60,1508.1247341364622,253.1
rolling_volatility_60,1001.8619601421058,165.9
realized_volatility_60,711.7011929571629,116.3
parkinson_volatility_60,1235.9023635678925,208.2
funding_change,933.9654931664467,151.4
funding_zscore,2195.3864688444883,371.4
realized_vol_percentile,1834.7466742537915,307.1
rolling_entropy,2248.69472999312,380.1
hurst_exponent,1954.2193947151304,326.8
trend_strength,1615.234430683963,272.2
session_asia,140.86261538267135,23.9
session_europe,128.3680682718754,22.5
session_us,229.14538756012917,35.8
