feature,gain,split
open,656.3325678288936,101.2
high,474.60873172283175,68.8
low,408.517778301239,59.4
close,409.63253951072693,62.3
volume,1492.0470707774161,207.3
funding_rate,1074.5914077997209,162.8
log_return,1957.0634663492442,131.1
close_open_range,760.0748937129974,48.2
high_low_range,793.4176585316658,117.7
vwap,260.47462928295135,36.9
vwap_distance,1659.9520753741265,210.7
rolling_return_1,28.72712893486023,2.7
realized_volatility_1,698.2001917481423,102.8
parkinson_volatility_1,399.0037865877151,56.0
rolling_return_3,2156.780667203665,235.5
rolling_volatility_3,1311.8714095711707,180.5
realized_volatility_3,1113.8321969566866,160.7
parkinson_volatility_3,783.5904965877533,111.4
rolling_return_5,1350.6263464391232,197.9
rolling_volatility_5,857.9604870259761,128.6
realized_volatility_5,598.037837433815,89.2
parkinson_volatility_5,617.6259569764137,94.2
rolling_return_15,1419.7054449498653,198.0
rolling_volatility_15,777.5535427421331,110.3
realized_volatility_15,727.7377517938614,100.5
parkinson_volatility_15,878.0929998278618,123.9
rolling_return_30,1227.8874104738236,184.9
rolling_volatility_30,477.8212996959686,73.0
realized_volatility_30,515.4158399581909,74.9
parkinson_volatility_30,657.8614151805639,97.6
rolling_return_60,834.9103634670377,125.9
rolling_volatility_60,541.7553907722234,82.1
realized_volatility_60,396.0519992828369,58.6
parkinson_volatility_60,774.3704503178596,115.3
funding_change,596.797933268547,90.0
funding_zscore,1359.7519824415444,209.5
realized_vol_percentile,964.7191448688507,151.8
rolling_entropy,1357.2148568153382,202.3
hurst_exponent,1181.8196996569634,179.7
trend_strength,861.5535233616829,128.0
session_asia,64.56513895988465,10.3
session_europe,25.439958119392394,3.9
session_us,80.81553876399994,12.0
