fold,split,rows,up,down,up_ratio,down_ratio,start,end
0,train,11734,5867,5867,0.5,0.5,2025-05-12 22:00:00+00:00,2025-09-14 21:45:00+00:00
0,validation,1970,985,985,0.5,0.5,2025-09-14 22:00:00+00:00,2025-10-05 17:45:00+00:00
0,test,1990,995,995,0.5,0.5,2025-10-05 18:00:00+00:00,2025-10-26 13:45:00+00:00
1,train,11846,5923,5923,0.5,0.5,2025-06-02 18:00:00+00:00,2025-10-05 17:45:00+00:00
1,validation,1990,995,995,0.5,0.5,2025-10-05 18:00:00+00:00,2025-10-26 13:45:00+00:00
1,test,1948,974,974,0.5,0.5,2025-10-26 14:00:00+00:00,2025-11-16 09:45:00+00:00
2,train,11812,5906,5906,0.5,0.5,2025-06-23 14:00:00+00:00,2025-10-26 13:45:00+00:00
2,validation,1948,974,974,0.5,0.5,2025-10-26 14:00:00+00:00,2025-11-16 09:45:00+00:00
2,test,1992,996,996,0.5,0.5,2025-11-16 10:00:00+00:00,2025-12-07 05:45:00+00:00
3,train,11930,5965,5965,0.5,0.5,2025-07-14 10:00:00+00:00,2025-11-16 09:45:00+00:00
3,validation,1992,996,996,0.5,0.5,2025-11-16 10:00:00+00:00,2025-12-07 05:45:00+00:00
3,test,1986,993,993,0.5,0.5,2025-12-07 06:00:00+00:00,2025-12-28 01:45:00+00:00
4,train,11994,5997,5997,0.5,0.5,2025-08-04 06:00:00+00:00,2025-12-07 05:45:00+00:00
4,validation,1986,993,993,0.5,0.5,2025-12-07 06:00:00+00:00,2025-12-28 01:45:00+00:00
4,test,1990,995,995,0.5,0.5,2025-12-28 02:00:00+00:00,2026-01-17 21:45:00+00:00
5,train,11874,5937,5937,0.5,0.5,2025-08-25 02:00:00+00:00,2025-12-28 01:45:00+00:00
5,validation,1990,995,995,0.5,0.5,2025-12-28 02:00:00+00:00,2026-01-17 21:45:00+00:00
5,test,1930,965,965,0.5,0.5,2026-01-17 22:00:00+00:00,2026-02-07 17:45:00+00:00
6,train,11896,5948,5948,0.5,0.5,2025-09-14 22:00:00+00:00,2026-01-17 21:45:00+00:00
6,validation,1930,965,965,0.5,0.5,2026-01-17 22:00:00+00:00,2026-02-07 17:45:00+00:00
6,test,1992,996,996,0.5,0.5,2026-02-07 18:00:00+00:00,2026-02-28 13:45:00+00:00
7,train,11856,5928,5928,0.5,0.5,2025-10-05 18:00:00+00:00,2026-02-07 17:45:00+00:00
7,validation,1992,996,996,0.5,0.5,2026-02-07 18:00:00+00:00,2026-02-28 13:45:00+00:00
7,test,1986,993,993,0.5,0.5,2026-02-28 14:00:00+00:00,2026-03-21 09:45:00+00:00
8,train,11854,5927,5927,0.5,0.5,2025-10-26 14:00:00+00:00,2026-02-28 13:45:00+00:00
8,validation,1986,993,993,0.5,0.5,2026-02-28 14:00:00+00:00,2026-03-21 09:45:00+00:00
8,test,1986,993,993,0.5,0.5,2026-03-21 10:00:00+00:00,2026-04-11 05:45:00+00:00
9,train,11892,5946,5946,0.5,0.5,2025-11-16 10:00:00+00:00,2026-03-21 09:45:00+00:00
9,validation,1986,993,993,0.5,0.5,2026-03-21 10:00:00+00:00,2026-04-11 05:45:00+00:00
9,test,1988,994,994,0.5,0.5,2026-04-11 06:00:00+00:00,2026-05-02 01:45:00+00:00
