fold,split,rows,up,down,up_ratio,down_ratio,start,end
0,train,11858,5929,5929,0.5,0.5,2025-06-02 13:30:00+00:00,2025-10-05 13:15:00+00:00
0,validation,1960,980,980,0.5,0.5,2025-10-05 13:30:00+00:00,2025-10-26 09:15:00+00:00
0,test,1958,979,979,0.5,0.5,2025-10-26 09:30:00+00:00,2025-11-16 05:15:00+00:00
1,train,11866,5933,5933,0.5,0.5,2025-06-23 09:30:00+00:00,2025-10-26 09:15:00+00:00
1,validation,1958,979,979,0.5,0.5,2025-10-26 09:30:00+00:00,2025-11-16 05:15:00+00:00
1,test,1922,961,961,0.5,0.5,2025-11-16 05:30:00+00:00,2025-12-07 01:15:00+00:00
2,train,11962,5981,5981,0.5,0.5,2025-07-14 05:30:00+00:00,2025-11-16 05:15:00+00:00
2,validation,1922,961,961,0.5,0.5,2025-11-16 05:30:00+00:00,2025-12-07 01:15:00+00:00
2,test,1990,995,995,0.5,0.5,2025-12-07 01:30:00+00:00,2025-12-27 21:15:00+00:00
3,train,11902,5951,5951,0.5,0.5,2025-08-04 01:30:00+00:00,2025-12-07 01:15:00+00:00
3,validation,1990,995,995,0.5,0.5,2025-12-07 01:30:00+00:00,2025-12-27 21:15:00+00:00
3,test,1986,993,993,0.5,0.5,2025-12-27 21:30:00+00:00,2026-01-17 17:15:00+00:00
4,train,11904,5952,5952,0.5,0.5,2025-08-24 21:30:00+00:00,2025-12-27 21:15:00+00:00
4,validation,1986,993,993,0.5,0.5,2025-12-27 21:30:00+00:00,2026-01-17 17:15:00+00:00
4,test,2000,1000,1000,0.5,0.5,2026-01-17 17:30:00+00:00,2026-02-07 13:15:00+00:00
5,train,11842,5921,5921,0.5,0.5,2025-09-14 17:30:00+00:00,2026-01-17 17:15:00+00:00
5,validation,2000,1000,1000,0.5,0.5,2026-01-17 17:30:00+00:00,2026-02-07 13:15:00+00:00
5,test,1984,992,992,0.5,0.5,2026-02-07 13:30:00+00:00,2026-02-28 09:15:00+00:00
6,train,11836,5918,5918,0.5,0.5,2025-10-05 13:30:00+00:00,2026-02-07 13:15:00+00:00
6,validation,1984,992,992,0.5,0.5,2026-02-07 13:30:00+00:00,2026-02-28 09:15:00+00:00
6,test,1966,983,983,0.5,0.5,2026-02-28 09:30:00+00:00,2026-03-21 05:15:00+00:00
7,train,11892,5946,5946,0.5,0.5,2025-10-26 09:30:00+00:00,2026-02-28 09:15:00+00:00
7,validation,1966,983,983,0.5,0.5,2026-02-28 09:30:00+00:00,2026-03-21 05:15:00+00:00
7,test,1968,984,984,0.5,0.5,2026-03-21 05:30:00+00:00,2026-04-11 01:15:00+00:00
8,train,11968,5984,5984,0.5,0.5,2025-11-16 05:30:00+00:00,2026-03-21 05:15:00+00:00
8,validation,1968,984,984,0.5,0.5,2026-03-21 05:30:00+00:00,2026-04-11 01:15:00+00:00
8,test,1952,976,976,0.5,0.5,2026-04-11 01:30:00+00:00,2026-05-01 21:15:00+00:00
