feature,mean_abs_shap
open,0.007419001982454253
high,0.006161585711849442
low,0.009155944599207974
close,0.0057445518154371576
volume,0.006272647635676326
funding_rate,0.011714846019804149
log_return,0.024310907303678
close_open_range,0.010555931691604733
high_low_range,0.005640700712026119
vwap,0.0051846877181556394
vwap_distance,0.035038328102022294
rolling_return_1,0.0005842583135287802
realized_volatility_1,0.0072818864735382325
parkinson_volatility_1,0.004196953119242323
rolling_return_3,0.013121038918449296
rolling_volatility_3,0.008979837815367875
realized_volatility_3,0.004944335506928138
parkinson_volatility_3,0.00642276658746041
rolling_return_5,0.008774350963521887
rolling_volatility_5,0.006717836999779986
realized_volatility_5,0.003385515320716842
parkinson_volatility_5,0.005938461740865092
rolling_return_15,0.007819295598019024
rolling_volatility_15,0.008400827086999407
realized_volatility_15,0.005522808570295446
parkinson_volatility_15,0.006450039092388647
rolling_return_30,0.00853383600093677
rolling_volatility_30,0.006406280786671813
realized_volatility_30,0.0055192678273683245
parkinson_volatility_30,0.005011644840248127
rolling_return_60,0.004756359503542103
rolling_volatility_60,0.003432938563042829
realized_volatility_60,0.004487477300425132
parkinson_volatility_60,0.00601536988770498
funding_change,0.0066153398773742085
funding_zscore,0.013210918986162664
realized_vol_percentile,0.006163816765942461
rolling_entropy,0.004771333097886034
hurst_exponent,0.006844780800403965
trend_strength,0.005371082340196169
session_asia,0.0017060598860229304
session_europe,0.0012531207241831713
session_us,0.0012915869771120661
