fold,split,rows,up,down,up_ratio,down_ratio,start,end
0,train,11982,5991,5991,0.5,0.5,2025-05-12 22:00:00+00:00,2025-09-14 21:45:00+00:00
0,validation,1966,983,983,0.5,0.5,2025-09-14 22:00:00+00:00,2025-10-05 17:45:00+00:00
0,test,1994,997,997,0.5,0.5,2025-10-05 18:00:00+00:00,2025-10-26 13:45:00+00:00
1,train,11956,5978,5978,0.5,0.5,2025-06-02 18:00:00+00:00,2025-10-05 17:45:00+00:00
1,validation,1994,997,997,0.5,0.5,2025-10-05 18:00:00+00:00,2025-10-26 13:45:00+00:00
1,test,1940,970,970,0.5,0.5,2025-10-26 14:00:00+00:00,2025-11-16 09:45:00+00:00
2,train,11888,5944,5944,0.5,0.5,2025-06-23 14:00:00+00:00,2025-10-26 13:45:00+00:00
2,validation,1940,970,970,0.5,0.5,2025-10-26 14:00:00+00:00,2025-11-16 09:45:00+00:00
2,test,1902,951,951,0.5,0.5,2025-11-16 10:00:00+00:00,2025-12-07 05:45:00+00:00
3,train,11998,5999,5999,0.5,0.5,2025-07-14 10:00:00+00:00,2025-11-16 09:45:00+00:00
3,validation,1902,951,951,0.5,0.5,2025-11-16 10:00:00+00:00,2025-12-07 05:45:00+00:00
3,test,1996,998,998,0.5,0.5,2025-12-07 06:00:00+00:00,2025-12-28 01:45:00+00:00
4,train,11872,5936,5936,0.5,0.5,2025-08-04 06:00:00+00:00,2025-12-07 05:45:00+00:00
4,validation,1996,998,998,0.5,0.5,2025-12-07 06:00:00+00:00,2025-12-28 01:45:00+00:00
4,test,1930,965,965,0.5,0.5,2025-12-28 02:00:00+00:00,2026-01-17 21:45:00+00:00
5,train,11898,5949,5949,0.5,0.5,2025-08-25 02:00:00+00:00,2025-12-28 01:45:00+00:00
5,validation,1930,965,965,0.5,0.5,2025-12-28 02:00:00+00:00,2026-01-17 21:45:00+00:00
5,test,1894,947,947,0.5,0.5,2026-01-17 22:00:00+00:00,2026-02-07 17:45:00+00:00
6,train,11948,5974,5974,0.5,0.5,2025-09-14 22:00:00+00:00,2026-01-17 21:45:00+00:00
6,validation,1894,947,947,0.5,0.5,2026-01-17 22:00:00+00:00,2026-02-07 17:45:00+00:00
6,test,1948,974,974,0.5,0.5,2026-02-07 18:00:00+00:00,2026-02-28 13:45:00+00:00
7,train,11808,5904,5904,0.5,0.5,2025-10-05 18:00:00+00:00,2026-02-07 17:45:00+00:00
7,validation,1948,974,974,0.5,0.5,2026-02-07 18:00:00+00:00,2026-02-28 13:45:00+00:00
7,test,1948,974,974,0.5,0.5,2026-02-28 14:00:00+00:00,2026-03-21 09:45:00+00:00
8,train,11750,5875,5875,0.5,0.5,2025-10-26 14:00:00+00:00,2026-02-28 13:45:00+00:00
8,validation,1948,974,974,0.5,0.5,2026-02-28 14:00:00+00:00,2026-03-21 09:45:00+00:00
8,test,1920,960,960,0.5,0.5,2026-03-21 10:00:00+00:00,2026-04-11 05:45:00+00:00
9,train,11758,5879,5879,0.5,0.5,2025-11-16 10:00:00+00:00,2026-03-21 09:45:00+00:00
9,validation,1920,960,960,0.5,0.5,2026-03-21 10:00:00+00:00,2026-04-11 05:45:00+00:00
9,test,1996,998,998,0.5,0.5,2026-04-11 06:00:00+00:00,2026-05-02 01:45:00+00:00
