prediction_timestamp,model_input_timestamp,target_timestamp,predicted_direction,prob_up,prob_down,start_close,actual_close_15m,actual_return_15m,actual_direction_15m,prediction_correct,evaluated_at
2026-05-15T15:45:00+00:00,2026-05-15T15:45:00+00:00,2026-05-15T15:45:00+00:00,UP,0.5074304992102563,0.4925695007897437,79064.0,79132.0,0.0008596930919628163,UP,True,2026-05-15T16:00:11.717026+00:00
2026-05-15T16:00:00+00:00,2026-05-15T16:00:00+00:00,2026-05-15T16:00:00+00:00,UP,0.5111614012933643,0.4888385987066357,79132.0,79179.0,0.0005937679805049656,UP,True,2026-05-15T16:15:12.746705+00:00
2026-05-15T16:15:00+00:00,2026-05-15T16:15:00+00:00,2026-05-15T16:15:00+00:00,UP,0.5030247185981817,0.4969752814018183,79179.0,79281.0,0.0012873913175274418,UP,True,2026-05-15T16:30:11.501288+00:00
2026-05-15T16:30:00+00:00,2026-05-15T16:30:00+00:00,2026-05-15T16:30:00+00:00,DOWN,0.4914819653770412,0.5085180346229587,79281.0,79239.0,-0.0005299016021042472,DOWN,True,2026-05-15T16:45:12.510970+00:00
2026-05-15T16:45:00+00:00,2026-05-15T16:45:00+00:00,2026-05-15T16:45:00+00:00,DOWN,0.4919160524558126,0.5080839475441874,79239.0,79253.0,0.00017666506872789613,UP,False,2026-05-15T17:00:13.838071+00:00
2026-05-15T17:00:00+00:00,2026-05-15T17:00:00+00:00,2026-05-15T17:00:00+00:00,DOWN,0.4968332133366906,0.5031667866633094,79253.0,79216.0,-0.0004669683114343895,DOWN,True,2026-05-15T17:15:15.949540+00:00
2026-05-15T17:15:00+00:00,2026-05-15T17:15:00+00:00,2026-05-15T17:15:00+00:00,UP,0.5027344665413573,0.4972655334586426,79216.0,79345.0,0.001627134395738328,UP,True,2026-05-15T17:30:11.270873+00:00
2026-05-15T17:30:00+00:00,2026-05-15T17:30:00+00:00,2026-05-15T17:30:00+00:00,DOWN,0.482196055712119,0.517803944287881,79345.0,79353.0,0.00010082042630372112,UP,False,2026-05-15T17:45:11.477402+00:00
2026-05-15T17:45:00+00:00,2026-05-15T17:45:00+00:00,2026-05-15T17:45:00+00:00,DOWN,0.4919813084588714,0.5080186915411286,79353.0,79433.0,0.0010076455955687533,UP,False,2026-05-15T18:00:15.836453+00:00
2026-05-15T18:00:00+00:00,2026-05-15T18:00:00+00:00,2026-05-15T18:00:00+00:00,DOWN,0.4574920802356482,0.5425079197643518,79433.0,79445.0,0.00015105930365201037,UP,False,2026-05-15T18:15:11.266343+00:00
2026-05-15T18:15:00+00:00,2026-05-15T18:15:00+00:00,2026-05-15T18:15:00+00:00,DOWN,0.4714771021541792,0.5285228978458207,79445.0,79232.0,-0.0026847007182541315,DOWN,True,2026-05-15T18:30:11.270570+00:00
2026-05-15T18:30:00+00:00,2026-05-15T18:30:00+00:00,2026-05-15T18:30:00+00:00,DOWN,0.4807963023416591,0.5192036976583408,79232.0,79254.0,0.0002776270477053133,UP,False,2026-05-15T18:45:13.044034+00:00
2026-05-15T18:45:00+00:00,2026-05-15T18:45:00+00:00,2026-05-15T18:45:00+00:00,DOWN,0.4712603147209264,0.5287396852790736,79254.0,79270.0,0.00020186217928307818,UP,False,2026-05-15T19:00:19.745464+00:00
2026-05-15T19:00:00+00:00,2026-05-15T19:00:00+00:00,2026-05-15T19:00:00+00:00,DOWN,0.459253132831376,0.540746867168624,79270.0,79041.0,-0.002893041667623449,DOWN,True,2026-05-15T19:15:12.907981+00:00
2026-05-15T19:15:00+00:00,2026-05-15T19:15:00+00:00,2026-05-15T19:15:00+00:00,DOWN,0.4766736386893342,0.5233263613106658,79041.0,79095.0,0.0006829564691016457,UP,False,2026-05-15T19:30:11.500672+00:00
