number,value,state,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_fold_log_losses,user_attrs_mean_validation_log_loss
0,0.6580316858241385,COMPLETE,0.9130144947537079,0.06978211022792681,8,141,7.072114131472227,0.020584494295802447,1124,41,0.002570603566117598,1.084636916089126,0.5748773697613773,1,"[0.6836246883070104, 0.6716436901699914, 0.6935562431988096, 0.6864445749788224, 0.6903855697000615, 0.6595428386356726, 0.6918067776093685, 0.6926070378337671, 0.6826282473966856, 0.6947213596059241, 0.6932441713551264, 0.5892445979048031, 0.5269942941073174, 0.6940763873436959, 0.6243664493481492, 0.6675774615195491, 0.5440742699955989]",0.6580316858241385
1,0.6576937293309308,COMPLETE,0.5392989411287272,0.009008485225328879,4,257,0.0067890532716984855,0.29214464853521815,2132,17,0.0032112643094417484,0.0006236936575328396,0.7518830871834741,4,"[0.6849784095774432, 0.6713074847520042, 0.693196675611198, 0.6883201666225963, 0.690827070946128, 0.6598357792867323, 0.6901697339148627, 0.6930095498311402, 0.6772633396867597, 0.6932064219156758, 0.6930113966364682, 0.5840945708917268, 0.5264280484646755, 0.693174528269278, 0.6286320043232076, 0.6691248320333426, 0.5442133858625854]",0.6576937293309308
2,0.6576796393113209,COMPLETE,0.4608406803967395,0.04409771327642757,4,482,1.1015056790269626,0.9656320330745594,1303,36,3.850031979199519e-08,25.566437378681954,0.5222961981055989,5,"[0.6883947811063138, 0.6749514710090677, 0.6934608066047931, 0.6888027815414991, 0.6910682434458829, 0.6569955153739774, 0.6900606911940605, 0.6927886567137669, 0.6756191452348286, 0.6935719559451426, 0.6923340538589955, 0.5806101245965118, 0.530711511733805, 0.6932048212525663, 0.6248382570092337, 0.668814440788042, 0.5443266108839666]",0.6576796393113209
3,0.6587038010758887,COMPLETE,0.9410582613512083,0.006555094372947843,7,115,0.039841905944346875,0.31171107608941095,970,32,2.133142332373004e-06,0.5966156286465789,0.7376849168534096,1,"[0.6836071148936917, 0.6756900347910832, 0.6931919698807595, 0.688409168204298, 0.6916629424974043, 0.6567299883519998, 0.690624841935569, 0.6931583078526741, 0.6781338670215086, 0.6931347351418601, 0.6931513703856403, 0.5871019966605835, 0.5297042031923112, 0.6931726625529928, 0.6319484595412634, 0.6703838964753374, 0.5481590589111298]",0.6587038010758887
4,0.6579901229890727,COMPLETE,0.9492182527650259,0.008347510002350119,9,753,0.004233032996527599,0.045227288910538066,1503,51,6.257956190096665e-08,0.0013088818765702626,0.9295171282052714,5,"[0.6901046918555309, 0.671884503291914, 0.6932465712992616, 0.6862147493270143, 0.6911039931555366, 0.6601398661495499, 0.6905626601636229, 0.6924161938596225, 0.6766736542887783, 0.6931627637543513, 0.6929785120016748, 0.5826427848032963, 0.5296671172035331, 0.6932440521795834, 0.6263730304880661, 0.6686283410553434, 0.5467886059375549]",0.6579901229890727
5,0.6583564523345752,COMPLETE,0.8714280374901258,0.01060979019033453,8,239,0.0009853225172032562,0.7722447692966574,1155,27,4.6876566400928895e-08,42.09582733145515,0.7604941199159593,1,"[0.6846104453312774, 0.6758906152926847, 0.6932461454136787, 0.6881622892172964, 0.6911966355386757, 0.6612879497835696, 0.6902754489173224, 0.6929199180430724, 0.6755566734062635, 0.6931638611053845, 0.693131269022948, 0.5877147425809893, 0.5295518762221774, 0.6932522145682792, 0.6301902474979503, 0.6682026151402359, 0.5437067426059735]",0.6583564523345752
6,0.6580971245922428,COMPLETE,0.42531488869133427,0.047960467239636484,7,622,0.00020786996906897802,0.3308980248526492,312,48,0.5860448217200517,0.3565802856513584,0.5355414328323633,3,"[0.6961889429669297, 0.674686054023093, 0.6936864387104354, 0.6878810026870574, 0.6896498620579168, 0.6567092711573626, 0.6901095276014745, 0.6930304039625603, 0.6779397466104727, 0.693943477125889, 0.6920845972178922, 0.5843083285330631, 0.5277956012653552, 0.693254162776974, 0.6247983942852119, 0.668234137694654, 0.5433511693917853]",0.6580971245922428
7,0.6582269156123713,COMPLETE,0.8136091116949468,0.012317703342786175,8,712,0.02944272359149678,0.770967179954561,984,43,0.0703178263660987,0.15801630895971636,0.7266631640777357,1,"[0.6896384245253688, 0.6740811313539147, 0.6933854357704435, 0.6872835153420959, 0.6908836965490132, 0.6601445111484825, 0.690147511408355, 0.6930475039315019, 0.6758738293771607, 0.6931149808139284, 0.6929622318313872, 0.5850584825983227, 0.5285397507786043, 0.6933406850736138, 0.6262111875984228, 0.6677946486623454, 0.5483500386473518]",0.6582269156123713
8,0.6572029484780997,COMPLETE,0.6805709492570569,0.01635990162852088,3,44,0.5994537656798818,0.41038292303562973,1450,13,1.4726456718740824,0.0026345651108740918,0.8054769974066146,3,"[0.6823745099587278, 0.6698543063791269, 0.6933945040103817, 0.6874699207382643, 0.6907187441308792, 0.658426174401386, 0.6896740923588084, 0.6930165865886943, 0.6778689116766794, 0.6932854103657696, 0.6929175068639348, 0.5834828964511546, 0.5281505134159299, 0.6932255144346349, 0.6280650362353439, 0.6674623007522236, 0.543063195365755]",0.6572029484780997
9,0.6582920346610749,COMPLETE,0.9164493836220166,0.006189606672462582,5,746,0.049740621749684084,0.8925589984899778,803,16,0.1710207048797339,0.0011567970416380246,0.8878977821909202,5,"[0.6895831527958614, 0.6716803194048785, 0.693217368638163, 0.6867245250761386, 0.6913510095642538, 0.660187805840538, 0.6904801368303529, 0.6930845381609961, 0.6764503386312973, 0.6931062752821205, 0.6926819977940538, 0.5868822980603348, 0.5299055155461917, 0.6932153213931136, 0.6268491934593831, 0.6690817362734881, 0.5464830564871077]",0.6582920346610749
10,0.6579582011759154,COMPLETE,0.45428407635592705,0.010962029839145527,4,46,0.05520882839839006,0.6440442898170529,710,7,0.19790862843021972,0.0018605972759188794,0.8338246980481406,3,"[0.6834053009709887, 0.6715560577942721, 0.6932346491971308, 0.6871540222941585, 0.6911940456868643, 0.657729469778791, 0.6896046336670574, 0.6930997974820909, 0.6784067793309654, 0.6932684214294504, 0.6929996044267683, 0.5864403944082128, 0.52857100761615, 0.6931958957999763, 0.6298857761953521, 0.6673830185620044, 0.5481605453503294]",0.6579582011759154
11,0.6573548741345971,COMPLETE,0.5369876855342279,0.06424456097568783,3,598,0.47022453400133934,0.8274129213230007,1782,28,4.1098792533339294e-05,39.151127332741,0.5071391228735198,5,"[0.6932467549461148, 0.6772844644270524, 0.6937580163812059, 0.6880505079380677, 0.6923778164351256, 0.6566437260441441, 0.6909823984624258, 0.6929955358802162, 0.6756910310179958, 0.6936954305469112, 0.6932516254531726, 0.5794423778719476, 0.5242799630270395, 0.6935730814001753, 0.6224202739011292, 0.6689435887156466, 0.5383962678397807]",0.6573548741345971
