fold,split,rows,up,down,up_ratio,start,end
1,train_raw,2940,1129,1811,0.3840136054421769,2024-12-08 00:30:00+00:00,2025-01-07 15:15:00+00:00
1,train_balanced,2258,1129,1129,0.5,2024-12-08 00:30:00+00:00,2025-01-07 15:15:00+00:00
1,validation,294,127,167,0.43197278911564624,2025-01-07 15:30:00+00:00,2025-01-10 16:45:00+00:00
2,train_raw,5880,2363,3517,0.40187074829931974,2024-12-08 00:30:00+00:00,2025-02-07 06:15:00+00:00
2,train_balanced,4726,2363,2363,0.5,2024-12-08 01:00:00+00:00,2025-02-07 06:15:00+00:00
2,validation,294,111,183,0.37755102040816324,2025-02-07 06:30:00+00:00,2025-02-10 07:45:00+00:00
3,train_raw,8820,3474,5346,0.39387755102040817,2024-12-08 00:30:00+00:00,2025-03-09 21:15:00+00:00
3,train_balanced,6948,3474,3474,0.5,2024-12-08 00:30:00+00:00,2025-03-09 21:00:00+00:00
3,validation,294,130,164,0.4421768707482993,2025-03-09 21:30:00+00:00,2025-03-12 22:45:00+00:00
4,train_raw,11760,4547,7213,0.38664965986394556,2024-12-08 00:30:00+00:00,2025-04-09 12:15:00+00:00
4,train_balanced,9094,4547,4547,0.5,2024-12-08 00:30:00+00:00,2025-04-09 12:00:00+00:00
4,validation,294,134,160,0.4557823129251701,2025-04-09 12:30:00+00:00,2025-04-12 13:45:00+00:00
5,train_raw,14700,5791,8909,0.3939455782312925,2024-12-08 00:30:00+00:00,2025-05-10 03:15:00+00:00
5,train_balanced,11582,5791,5791,0.5,2024-12-08 00:30:00+00:00,2025-05-10 03:15:00+00:00
5,validation,294,152,142,0.5170068027210885,2025-05-10 03:30:00+00:00,2025-05-13 04:45:00+00:00
6,train_raw,17640,6952,10688,0.3941043083900227,2024-12-08 00:30:00+00:00,2025-06-09 18:15:00+00:00
6,train_balanced,13904,6952,6952,0.5,2024-12-08 00:30:00+00:00,2025-06-09 18:15:00+00:00
6,validation,294,98,196,0.3333333333333333,2025-06-09 18:30:00+00:00,2025-06-12 19:45:00+00:00
7,train_raw,20580,8157,12423,0.39635568513119535,2024-12-08 00:30:00+00:00,2025-07-10 09:15:00+00:00
7,train_balanced,16314,8157,8157,0.5,2024-12-08 01:00:00+00:00,2025-07-10 08:45:00+00:00
7,validation,294,151,143,0.5136054421768708,2025-07-10 09:30:00+00:00,2025-07-13 10:45:00+00:00
8,train_raw,23520,9593,13927,0.4078656462585034,2024-12-08 00:30:00+00:00,2025-08-10 00:15:00+00:00
8,train_balanced,19186,9593,9593,0.5,2024-12-08 00:30:00+00:00,2025-08-10 00:15:00+00:00
8,validation,294,143,151,0.48639455782312924,2025-08-10 00:30:00+00:00,2025-08-13 01:45:00+00:00
9,train_raw,26460,10897,15563,0.4118291761148904,2024-12-08 00:30:00+00:00,2025-09-09 15:15:00+00:00
9,train_balanced,21794,10897,10897,0.5,2024-12-08 00:30:00+00:00,2025-09-09 14:45:00+00:00
9,validation,294,113,181,0.3843537414965986,2025-09-09 15:30:00+00:00,2025-09-12 16:45:00+00:00
