fold,split,rows,up,down,up_ratio,down_ratio,start,end
0,train,9316,4658,4658,0.5,0.5,2024-12-08 00:30:00+00:00,2025-04-12 00:15:00+00:00
0,validation,1642,821,821,0.5,0.5,2025-04-12 00:30:00+00:00,2025-05-02 20:15:00+00:00
0,test,1846,923,923,0.5,0.5,2025-05-02 20:30:00+00:00,2025-05-23 16:15:00+00:00
1,train,9338,4669,4669,0.5,0.5,2024-12-28 20:30:00+00:00,2025-05-02 20:15:00+00:00
1,validation,1846,923,923,0.5,0.5,2025-05-02 20:30:00+00:00,2025-05-23 16:15:00+00:00
1,test,1346,673,673,0.5,0.5,2025-05-23 16:30:00+00:00,2025-06-13 12:15:00+00:00
2,train,9702,4851,4851,0.5,0.5,2025-01-18 16:30:00+00:00,2025-05-23 16:15:00+00:00
2,validation,1346,673,673,0.5,0.5,2025-05-23 16:30:00+00:00,2025-06-13 12:15:00+00:00
2,test,1594,797,797,0.5,0.5,2025-06-13 12:30:00+00:00,2025-07-04 08:15:00+00:00
3,train,9328,4664,4664,0.5,0.5,2025-02-08 12:30:00+00:00,2025-06-13 12:15:00+00:00
3,validation,1594,797,797,0.5,0.5,2025-06-13 12:30:00+00:00,2025-07-04 08:15:00+00:00
3,test,1962,981,981,0.5,0.5,2025-07-04 08:30:00+00:00,2025-07-25 04:15:00+00:00
4,train,9468,4734,4734,0.5,0.5,2025-03-01 08:30:00+00:00,2025-07-04 08:15:00+00:00
4,validation,1962,981,981,0.5,0.5,2025-07-04 08:30:00+00:00,2025-07-25 04:15:00+00:00
4,test,1968,984,984,0.5,0.5,2025-07-25 04:30:00+00:00,2025-08-15 00:15:00+00:00
5,train,9866,4933,4933,0.5,0.5,2025-03-22 04:30:00+00:00,2025-07-25 04:15:00+00:00
5,validation,1968,984,984,0.5,0.5,2025-07-25 04:30:00+00:00,2025-08-15 00:15:00+00:00
5,test,1834,917,917,0.5,0.5,2025-08-15 00:30:00+00:00,2025-09-04 20:15:00+00:00
6,train,10358,5179,5179,0.5,0.5,2025-04-12 00:30:00+00:00,2025-08-15 00:15:00+00:00
6,validation,1834,917,917,0.5,0.5,2025-08-15 00:30:00+00:00,2025-09-04 20:15:00+00:00
6,test,1378,689,689,0.5,0.5,2025-09-04 20:30:00+00:00,2025-09-25 16:15:00+00:00
7,train,10550,5275,5275,0.5,0.5,2025-05-02 20:30:00+00:00,2025-09-04 20:15:00+00:00
7,validation,1378,689,689,0.5,0.5,2025-09-04 20:30:00+00:00,2025-09-25 16:15:00+00:00
7,test,1714,857,857,0.5,0.5,2025-09-25 16:30:00+00:00,2025-10-16 12:15:00+00:00
8,train,10082,5041,5041,0.5,0.5,2025-05-23 16:30:00+00:00,2025-09-25 16:15:00+00:00
8,validation,1714,857,857,0.5,0.5,2025-09-25 16:30:00+00:00,2025-10-16 12:15:00+00:00
8,test,1602,801,801,0.5,0.5,2025-10-16 12:30:00+00:00,2025-11-06 08:15:00+00:00
9,train,10450,5225,5225,0.5,0.5,2025-06-13 12:30:00+00:00,2025-10-16 12:15:00+00:00
9,validation,1602,801,801,0.5,0.5,2025-10-16 12:30:00+00:00,2025-11-06 08:15:00+00:00
9,test,1588,794,794,0.5,0.5,2025-11-06 08:30:00+00:00,2025-11-27 04:15:00+00:00
10,train,10458,5229,5229,0.5,0.5,2025-07-04 08:30:00+00:00,2025-11-06 08:15:00+00:00
10,validation,1588,794,794,0.5,0.5,2025-11-06 08:30:00+00:00,2025-11-27 04:15:00+00:00
10,test,1286,643,643,0.5,0.5,2025-11-27 04:30:00+00:00,2025-12-18 00:15:00+00:00
11,train,10084,5042,5042,0.5,0.5,2025-07-25 04:30:00+00:00,2025-11-27 04:15:00+00:00
11,validation,1286,643,643,0.5,0.5,2025-11-27 04:30:00+00:00,2025-12-18 00:15:00+00:00
11,test,1114,557,557,0.5,0.5,2025-12-18 00:30:00+00:00,2026-01-07 20:15:00+00:00
12,train,9402,4701,4701,0.5,0.5,2025-08-15 00:30:00+00:00,2025-12-18 00:15:00+00:00
12,validation,1114,557,557,0.5,0.5,2025-12-18 00:30:00+00:00,2026-01-07 20:15:00+00:00
12,test,1360,680,680,0.5,0.5,2026-01-07 20:30:00+00:00,2026-01-28 16:15:00+00:00
13,train,8682,4341,4341,0.5,0.5,2025-09-04 20:30:00+00:00,2026-01-07 20:15:00+00:00
13,validation,1360,680,680,0.5,0.5,2026-01-07 20:30:00+00:00,2026-01-28 16:15:00+00:00
13,test,1910,955,955,0.5,0.5,2026-01-28 16:30:00+00:00,2026-02-18 12:15:00+00:00
14,train,8664,4332,4332,0.5,0.5,2025-09-25 16:30:00+00:00,2026-01-28 16:15:00+00:00
14,validation,1910,955,955,0.5,0.5,2026-01-28 16:30:00+00:00,2026-02-18 12:15:00+00:00
14,test,1840,920,920,0.5,0.5,2026-02-18 12:30:00+00:00,2026-03-11 08:15:00+00:00
15,train,8860,4430,4430,0.5,0.5,2025-10-16 12:30:00+00:00,2026-02-18 12:15:00+00:00
15,validation,1840,920,920,0.5,0.5,2026-02-18 12:30:00+00:00,2026-03-11 08:15:00+00:00
15,test,1358,679,679,0.5,0.5,2026-03-11 08:30:00+00:00,2026-04-01 04:15:00+00:00
16,train,9098,4549,4549,0.5,0.5,2025-11-06 08:30:00+00:00,2026-03-11 08:15:00+00:00
16,validation,1358,679,679,0.5,0.5,2026-03-11 08:30:00+00:00,2026-04-01 04:15:00+00:00
16,test,1394,697,697,0.5,0.5,2026-04-01 04:30:00+00:00,2026-04-22 00:15:00+00:00
