fold,rows,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss
0,9316,0.6161442679261485,0.5928277282086479,0.7417346500644053,0.6589738699218005,0.23998232198100095,0.6161442679261485,0.6716114521828952,0.6618750409277789
1,9338,0.6217605482972799,0.5997893628225381,0.731848361533519,0.6592706926490449,0.2496473816740803,0.6217605482972799,0.6649954327061907,0.6716719679899055
2,9702,0.6746031746031746,0.6495937831155069,0.7581941867656153,0.6997051269856368,0.35419121967922323,0.6746031746031746,0.7508481250861319,0.6215733959263732
3,9328,0.6272512864493996,0.6115391843638414,0.6976843910806175,0.6517776664997497,0.25706586882225635,0.6272512864493996,0.6690838084271629,0.6645530994850336
4,9468,0.5937896070975919,0.5742971887550201,0.7249683143219265,0.6408963585434174,0.19438849342778397,0.5937896070975919,0.6237187625441998,0.6911890729630228
5,9866,0.5818974255017231,0.5548614883215643,0.828299209406041,0.6645523298365456,0.18823952495704604,0.5818974255017231,0.6167009917487891,0.6913120992123475
6,10358,0.6549526935701873,0.6242452392011147,0.7785286734890906,0.6929025605774188,0.31982748051974624,0.6549526935701873,0.7256819680500824,0.6426646044333586
7,10550,0.6127962085308057,0.5888855691664177,0.7472985781990521,0.6587016459186231,0.2342262658723409,0.6127962085308056,0.6640523438377395,0.6736587206877018
8,10082,0.6627653243404087,0.6351062078050387,0.7651259670700258,0.6940795393197768,0.3325744736114213,0.6627653243404086,0.7307028015974228,0.639341013542702
9,10450,0.6413397129186603,0.6171664286847532,0.7444976076555024,0.6748785565579458,0.2888948660503983,0.6413397129186603,0.6979074105446303,0.6562827233862937
10,10458,0.626314782941289,0.5993083746804991,0.7622872442149551,0.671043771043771,0.26252333049829635,0.626314782941289,0.6930767446842072,0.6581511443482836
11,10084,0.6317929393097977,0.6039743389140979,0.7655692185640619,0.6752383451412578,0.2735589438454383,0.6317929393097977,0.6952369237634335,0.6547274486747952
12,9402,0.6140182939800043,0.591156462585034,0.7394171452882365,0.6570267460542482,0.23556537025494298,0.6140182939800043,0.6652652033419367,0.6691213549408167
13,8682,0.6673577516701221,0.646619576185671,0.7380787836903939,0.689328743545611,0.33811472786105445,0.6673577516701221,0.7363871033338975,0.6234015843025472
14,8664,0.6273084025854109,0.6021863998517695,0.7502308402585411,0.6681056634803165,0.26267862613544773,0.627308402585411,0.6750138973082704,0.6767836176526472
15,8860,0.6348758465011287,0.6105867110864335,0.7446952595936794,0.6710057968066714,0.27650356286439953,0.6348758465011286,0.677381566275497,0.6720742387407015
16,9098,0.6622334579028358,0.636767976278725,0.7553308419432843,0.6910005027652086,0.3302419041887701,0.6622334579028357,0.7260271281651576,0.6267853694010836
