number,value,state,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_auc_gap_penalty,user_attrs_train_auc,user_attrs_validation_auc,user_attrs_validation_log_loss
0,0.560409417829067,COMPLETE,0.869705687464961,0.06978211022792681,8,198,7.072114131472227,0.020584494295802447,1374,41,0.002570603566117598,1.084636916089126,0.5701975341512912,1,0.019170149530984972,0.6754303150149767,0.5795795673600519,0.6811107904449238
1,0.5627235853267982,COMPLETE,0.5247374841188251,0.009008485225328879,4,339,0.0067890532716984855,0.29214464853521815,2565,17,0.0032112643094417484,0.0006236936575328396,0.7361403942345071,4,0.013904170391413385,0.6461486076752785,0.5766277557182116,0.6814541022720048
2,0.5699439105913877,COMPLETE,0.4523144742123749,0.04409771327642757,4,613,1.1015056790269626,0.9656320330745594,1586,36,3.850031979199519e-08,25.566437378681954,0.520902685723999,5,0.009688996525240669,0.6280778897428317,0.5796329071166284,0.6816155418113747
3,0.550655285822095,COMPLETE,0.8955922412472692,0.006555094372947843,7,166,0.039841905944346875,0.31171107608941095,1192,32,2.133142332373004e-06,0.5966156286465789,0.7228296095500716,1,0.025976046747081805,0.7065115663045858,0.5766313325691768,0.6811755330956333
4,0.5652386065147476,COMPLETE,0.9031245410138701,0.008347510002350119,9,943,0.004233032996527599,0.045227288910538066,1821,51,6.257956190096665e-08,0.0013088818765702626,0.9026723076924419,5,0.011529943902486295,0.6344182699296653,0.5767685504172338,0.682116331795401
5,0.556879275220219,COMPLETE,0.8313181884524238,0.01060979019033453,8,317,0.0009853225172032562,0.7722447692966574,1410,27,4.6876566400928895e-08,42.09582733145515,0.7442132374212118,1,0.019375749620007765,0.6731337729402656,0.5762550248402267,0.6816275069192239
6,0.5690309411403369,COMPLETE,0.41952143571507783,0.047960467239636484,7,783,0.00020786996906897802,0.3308980248526492,414,48,0.5860448217200517,0.3565802856513584,0.5333200932803407,3,0.00924723300442829,0.6245143391669067,0.5782781741447652,0.6821253483658449
7,0.5670629027554578,COMPLETE,0.777946872333797,0.012317703342786175,8,893,0.02944272359149678,0.770967179954561,1208,43,0.0703178263660987,0.15801630895971636,0.7124967163228771,1,0.010591037325659181,0.6306091267094128,0.5776539400811169,0.681935350164636
8,0.5638037492865776,COMPLETE,0.6551424146988216,0.01635990162852088,3,79,0.5994537656798818,0.41038292303562973,1759,13,1.4726456718740824,0.0026345651108740918,0.7863846850687011,3,0.01303130862130182,0.6419916010143886,0.5768350579078795,0.6810549797036842
9,0.5656916382939694,COMPLETE,0.8728763541126305,0.006189606672462582,5,934,0.049740621749684084,0.8925589984899778,995,16,0.1710207048797339,0.0011567970416380246,0.8636541708039875,5,0.011163387912791057,0.6326719657707157,0.5768550262067604,0.6820518197493088
10,0.5674917045604377,COMPLETE,0.36332152476102175,0.01435331273144293,3,675,0.09973535646870983,0.8312931521859009,2288,38,7.047306504092893e-08,3.3343712275553576,0.57967239342351,5,0.009639284928002523,0.6253274141284528,0.5771309894884402,0.6817906537781817
11,0.5635586788710369,COMPLETE,0.5258714123447288,0.04905429729362306,6,332,5.214262308693249,0.8397041065913191,1658,35,1.106198109238138e-05,7.989522047572836,0.5279990915794078,4,0.014206253276528358,0.6487961985302071,0.5777649321475653,0.6814734432441026
12,0.571074008344931,COMPLETE,0.4433262378208064,0.07116963406364153,6,810,0.0017742532310297248,0.47644050509168745,768,53,0.0026588002439161345,1.517567777376926,0.5366134006700588,3,0.009085383410839953,0.6255863088099708,0.580159391755771,0.6819259817346345
13,0.5690461886078283,COMPLETE,0.38539275557199726,0.04874616149207674,3,996,0.07095208200252658,0.9595008307730127,811,43,2.0804684275560947e-06,15.015981985254543,0.5717325479912085,3,0.008597558651914628,0.620631540519316,0.5776437472597429,0.6822091582618863
14,0.5689331148864036,COMPLETE,0.35324502626947435,0.06575918911912025,7,927,0.005671960892077095,0.6300442028272433,1949,52,0.015426521956867193,12.497822840671514,0.5185038432014142,3,0.007996222606264359,0.6169104505239897,0.576929337492668,0.6824122575949244
15,0.5655439729205505,COMPLETE,0.37168081234295725,0.06284194009949615,4,550,0.000997524322803863,0.48527504497106366,1050,57,1.514288644851628e-06,1.902763798242806,0.5220946299935939,5,0.011153206344815248,0.6324632109894419,0.5766971792653657,0.6817020609893881
16,0.5670805942428332,COMPLETE,0.46361363940619815,0.06466935991325236,5,873,0.00384659321712908,0.3024204239474534,1475,33,9.785059303909892e-06,4.018118422785435,0.5814837550870614,1,0.01034574896542857,0.6291550880354047,0.5774263432082618,0.682160070425441
17,0.5631399618449522,COMPLETE,0.5604356170648059,0.06936099279433756,5,577,0.0007915122733851821,0.6408533443065103,1105,55,0.0016320711355205303,0.36255679924698186,0.8351708074039904,3,0.013933658913423554,0.6467419153254935,0.5770736207583758,0.6814150874339187
18,0.5637721545672565,COMPLETE,0.579867399853853,0.015238934988665872,4,228,1.044644180664509,0.9188375809895781,884,21,1.6916118066735107e-08,2.1582661535083867,0.5932214926234362,7,0.013258530603131603,0.6433233381860461,0.5770306851703881,0.6812664629215678
19,0.567524735605887,COMPLETE,0.7125873102104572,0.0630064705190425,7,824,0.0001486278429663003,0.9182439415418366,1012,42,0.00010534405138408111,28.77092753883772,0.6093740762973582,1,0.010471375616061086,0.6303529893022535,0.577996111221948,0.6818993020809581
20,0.5673477091842568,COMPLETE,0.6196948110083937,0.0276264988937858,6,611,0.17731601863233334,0.7415992957828209,1694,47,5.457647750963828e-08,20.556275969943126,0.5404983420612657,6,0.010280074672562402,0.6290281572196312,0.5776277838568192,0.6818273034460484
21,0.5695957231351435,COMPLETE,0.5255157795851768,0.056130848926712294,3,866,0.08463360086703342,0.895300375571278,613,42,1.1694200268787729e-07,5.661146348979813,0.5622967410740562,3,0.00851826632706303,0.6207053210975216,0.5781139894622065,0.6822229981854042
22,0.5679033673815468,COMPLETE,0.5551730650704734,0.07424862359729034,3,557,0.6486952378612472,0.9371076294552525,751,18,2.2853822075257613e-07,0.05875564530806044,0.6894697227095518,2,0.010328358531014416,0.6298735185676333,0.5782317259125612,0.6813307012096749
23,0.567927903658233,COMPLETE,0.4170135692931296,0.04862747732802586,3,540,3.1344402828282987,0.7219256547794822,1906,56,2.441354527792782e-07,0.7699531911597464,0.6806896388109833,4,0.009981643489908976,0.6278177645976868,0.5779095471481419,0.6814802301359414
24,0.5689134165016034,COMPLETE,0.7258078623055574,0.056164511996225346,5,843,0.022710529518581667,0.9076747534954585,1499,49,2.42247771641194e-07,0.24876050516490447,0.6248504898824556,3,0.009958710198900978,0.6286656776950093,0.5788721267005044,0.6818050761524875
25,0.5688470174337225,COMPLETE,0.350078858400101,0.057959084848601405,5,752,0.2168432855543546,0.8131219194636161,2050,28,1.17324982985014e-07,4.747453688257633,0.5290407795390303,6,0.009674802595820098,0.626895833008643,0.5785218200295426,0.6818082533483721
26,0.5689050924209385,COMPLETE,0.48590538033345626,0.051408619613234126,3,612,0.261626440390023,0.577054578052608,437,58,4.419544027387562e-08,1.749203823321526,0.5993610634085696,3,0.010322183209500735,0.6308381916779429,0.5792272756304392,0.6814570290566414
27,0.5696672788997964,COMPLETE,0.6678098093949452,0.06643239955692383,8,709,0.001961774460526162,0.3550390347405343,1045,59,3.204633294291905e-05,0.4125666789731566,0.5699078801660775,3,0.010258622338634595,0.631219012931604,0.579925901238431,0.6814455123407486
28,0.5692912917775567,COMPLETE,0.5435014284646587,0.07727554146470755,9,893,0.006289512589840352,0.5446857049157932,929,61,1.0941724380126682e-05,4.652610822106735,0.6172699523058006,3,0.009126483890815362,0.6240501951224489,0.578417775668372,0.6818172266835281
29,0.5705725483896336,COMPLETE,0.7681124751309876,0.05106984508952626,7,786,0.0002696840704557662,0.2852702203277628,1311,53,2.642299316273945e-06,0.021915713122854494,0.5771221609405776,4,0.010138850187933413,0.631405649517234,0.5807113985775669,0.6813480020403329
30,0.569106934934558,COMPLETE,0.9349918057698801,0.02609223402097165,6,738,0.00025969467821406,0.33139359902645293,600,57,2.3205676731135406e-08,0.052042471340525545,0.6582079571971685,4,0.010515848918007477,0.6322020284426029,0.5796227838525655,0.6815724052421208
31,0.5713151656668622,COMPLETE,0.7794349752462028,0.06253548827123745,8,915,0.004230420371444388,0.2080940733337448,1243,37,0.00022656194760846589,0.005965453981972662,0.6355674794077412,2,0.009411808397854117,0.627786016053987,0.5807269740647164,0.6815353687539571
32,0.5672622726275953,COMPLETE,0.8563998086139478,0.07513538583046686,8,895,0.001151454692464911,0.13177401167351038,1631,25,3.5148068761169315e-05,0.004009828992349811,0.7299004715322462,3,0.011148648970340914,0.6341541664496408,0.5784109215979363,0.6816679551343326
